MIN_ELAPSED,MIN_ENTRY,MAX_ENTRY,MOVE_MODE,MIN_MOVE,MIN_SIGMA,TIER_ENTRY,MIN_MOVE_HIGH,MIN_CONF,KELLY_FRAC,MAX_PER_WINDOW,MAX_SAME_DIR,trades,wins,losses,winrate,pf,pnl,gross_win,gross_loss,final,max_dd,avg_entry,exp_per_trade,score
0.75,0.45,0.7,pct,0.0006,-,0.45,0.0008,0.6,0.15,2,3,237,179,58,0.7552742616033755,2.340579516246251,1943.8402985570642,3393.840298557064,-1450.0,2443.840298557064,0.328707503660752,0.5815738396624472,0.32807431199275344,634.2290953895317
0.85,0.5,0.62,pct,0.0006,-,0.45,0.0008,0.6,0.15,2,99,68,58,10,0.8529411764705882,4.881880391269163,970.4700978172921,1220.4700978172907,-250.0,1470.470097817292,0.07772097158212532,0.5468382352941177,0.5708647634219365,631.4471598855071
0.85,0.5,0.62,pct,0.0006,-,0.45,0.0008,0.6,0.15,2,3,68,58,10,0.8529411764705882,4.881880391269163,970.4700978172921,1220.4700978172907,-250.0,1470.470097817292,0.07772097158212532,0.5468382352941177,0.5708647634219365,631.4471598855071
0.85,0.45,0.62,pct,0.0006,-,0.45,0.0008,0.6,0.15,2,99,78,64,14,0.8205128205128205,3.9598272022652328,1035.9395207928324,1385.9395207928314,-350.0,1535.9395207928324,0.08717885203660747,0.537948717948718,0.5312510363040166,630.2305534231295
0.85,0.45,0.62,pct,0.0006,-,0.45,0.0008,0.6,0.15,2,3,78,64,14,0.8205128205128205,3.9598272022652328,1035.9395207928324,1385.9395207928314,-350.0,1535.9395207928324,0.08717885203660747,0.537948717948718,0.5312510363040166,630.2305534231295
0.65,0.45,0.7,pct,0.0006,-,0.45,0.0008,0.6,0.15,99,99,459,330,129,0.7189542483660131,1.8581903275652323,2767.6638063978708,5992.663806397874,-3225.0,3267.6638063978708,0.5464420825083566,0.5911285403050109,0.24119074565558787,624.5977251075635
0.85,0.45,0.7,pct,0.0006,-,0.45,0.0008,0.6,0.15,99,99,123,97,26,0.7886178861788617,2.9934485553270584,1295.741560962588,1945.741560962588,-650.0,1795.741560962588,0.16037386575432205,0.5698373983739837,0.4213793694187278,622.5085562905712
0.65,0.5,0.62,pct,0.001,-,0.45,0.0008,0.6,0.15,99,3,201,154,47,0.7661691542288557,2.6660331349404247,1957.5889335549982,3132.588933554999,-1175.0,2457.588933554998,0.3524285370995768,0.5562189054726369,0.3895699370258703,622.4158407114469
0.75,0.5,0.7,pct,0.001,-,0.45,0.0008,0.6,0.15,2,99,165,133,32,0.806060606060606,3.1047076268649145,1683.7661014919317,2483.7661014919317,-800.0,2183.7661014919317,0.30010624859592794,0.5865757575757576,0.4081857215738016,616.7979039035664
0.75,0.5,0.7,pct,0.001,-,0.45,0.0008,0.6,0.15,2,3,164,132,32,0.8048780487804879,3.0775464119116434,1662.0371295293148,2462.037129529315,-800.0,2162.037129529315,0.30010624859592794,0.586890243902439,0.4053749096412963,607.9449221085343
0.75,0.45,0.7,pct,0.001,-,0.45,0.0008,0.6,0.15,2,99,168,134,34,0.7976190476190477,2.9520837082317435,1659.271151996982,2509.271151996982,-850.0,2159.271151996982,0.2999176751188226,0.5838095238095239,0.3950645599992814,601.6656382755959
0.85,0.5,0.62,pct,0.001,-,0.45,0.0008,0.6,0.15,99,99,61,54,7,0.8852459016393442,6.519773873882975,965.9604279295218,1140.9604279295206,-175.0,1465.9604279295218,0.10577893840706228,0.5452459016393444,0.6334166740521454,600.873476237107
0.75,0.45,0.7,pct,0.001,-,0.45,0.0008,0.6,0.15,2,3,167,133,34,0.7964071856287425,2.9265202118051357,1637.5421800343652,2487.542180034365,-850.0,2137.542180034365,0.2999176751188226,0.5841017964071856,0.3922256718645186,592.8843615854555
0.85,0.45,0.62,pct,0.001,-,0.45,0.0008,0.6,0.15,99,99,65,56,9,0.8615384615384616,5.324068258450836,972.915358151439,1197.915358151438,-225.0,1472.915358151439,0.13243728445860986,0.5407692307692309,0.5987171434778087,547.9355929270337
